Date,LCOH (USD/kg Hâ‚‚),CAPEX (USD),Total Cost (USD)
2015-01-01,151.8,4171700,5576720
2015-07-01,156.3,4334650,5739670
2016-01-01,160.8,4500290,5905310
2016-07-01,165.2,4664130,6069150
2017-01-01,169.6,4829780,6234800
2017-07-01,174.2,4992720,6397740
2018-01-01,178.6,5158360,6563380
2018-07-01,183.1,5321310,6726330
2019-01-01,187.8,5486950,6891970
2019-07-01,192.1,5649890,7054910
2020-01-01,196.7,5815540,7220560
2020-07-01,201.0,5979380,7384400
2021-01-01,205.6,6145030,7550050
2021-07-01,209.3,6280960,7685980
2022-01-01,214.6,6473610,7878630
2022-07-01,219.0,6636560,8041580
2023-01-01,223.5,6802200,8207220
2023-07-01,227.9,6965140,8370160
2024-01-01,232.4,7130790,8535810
2024-07-01,236.9,7294630,8699650
2025-01-01,241.5,7460270,8865290
